variable,bloque,tabla_origen,estado,entra_en,proposito,sale_en,motivo,evidencia,en_completa,en_nucleo,en_minima,en_moderna
t2m_mean_met_Dm1,meteorología: reanálisis desfasado,era5_weather_agg,en la matriz,matriz de partida,observación meteorológica de días anteriores,,,,si,si,,si
t2m_mean_met_Dm2,meteorología: reanálisis desfasado,era5_weather_agg,en la matriz,matriz de partida,observación meteorológica de días anteriores,,,,si,,,
t2m_meteo,meteorología: canal empalmado,era5_weather_agg,en la matriz,matriz de partida,misma variable con la fuente disponible en cada fecha,,,,si,si,,si
target_price,objetivo,spot_price (TARGET),en la matriz,matriz de partida,precio horario del mercado diario del día siguiente,,,,,,,
tcc_mean_met_Dm1,meteorología: reanálisis desfasado,era5_weather_agg,en la matriz,matriz de partida,observación meteorológica de días anteriores,,,,si,si,,si
tcc_mean_met_Dm2,meteorología: reanálisis desfasado,era5_weather_agg,en la matriz,matriz de partida,observación meteorológica de días anteriores,,,,si,si,,si
tcc_meteo,meteorología: canal empalmado,era5_weather_agg,en la matriz,matriz de partida,misma variable con la fuente disponible en cada fecha,,,,si,si,,si
total_net_flow_mw_Dm1,demanda e intercambios: agregado,generation (real D-1/D-6),en la matriz,matriz de partida,suma calculada por la base de datos,,,,si,si,,si
total_net_flow_mw_Dm6,demanda e intercambios: agregado,generation (real D-1/D-6),en la matriz,matriz de partida,suma calculada por la base de datos,,,,si,si,,si
tp_acum_30d_met_Dm1,meteorología: reanálisis desfasado,era5_weather_agg,en la matriz,matriz de partida,observación meteorológica de días anteriores,,,,si,si,,si
tp_acum_30d_met_Dm2,meteorología: reanálisis desfasado,era5_weather_agg,en la matriz,matriz de partida,observación meteorológica de días anteriores,,,,si,,,
tp_acum_7d_met_Dm1,meteorología: reanálisis desfasado,era5_weather_agg,en la matriz,matriz de partida,observación meteorológica de días anteriores,,,,si,,,
tp_acum_7d_met_Dm2,meteorología: reanálisis desfasado,era5_weather_agg,en la matriz,matriz de partida,observación meteorológica de días anteriores,,,,si,si,,si
waste_mw_Dm1,estado real de días anteriores,generation (real D-1/D-6),en la matriz,matriz de partida,"el sistema tal y como se observó, ya publicado",,,,si,si,,si
waste_mw_Dm6,estado real de días anteriores,generation (real D-1/D-6),en la matriz,matriz de partida,"el sistema tal y como se observó, ya publicado",,,,si,si,,si
wind100_mean_met_Dm1,meteorología: reanálisis desfasado,era5_weather_agg,en la matriz,matriz de partida,observación meteorológica de días anteriores,,,,si,,,
wind100_mean_met_Dm2,meteorología: reanálisis desfasado,era5_weather_agg,en la matriz,matriz de partida,observación meteorológica de días anteriores,,,,si,si,,si
wind100_meteo,meteorología: canal empalmado,era5_weather_agg,en la matriz,matriz de partida,misma variable con la fuente disponible en cada fecha,,,,si,si,,si
wind10_mean_met_Dm1,meteorología: reanálisis desfasado,era5_weather_agg,en la matriz,matriz de partida,observación meteorológica de días anteriores,,,,si,si,,si
wind10_mean_met_Dm2,meteorología: reanálisis desfasado,era5_weather_agg,en la matriz,matriz de partida,observación meteorológica de días anteriores,,,,si,,,
wind10_meteo,meteorología: canal empalmado,era5_weather_agg,en la matriz,matriz de partida,misma variable con la fuente disponible en cada fecha,,,,si,,,
wind_mw_Dm1,estado real de días anteriores,generation (real D-1/D-6),en la matriz,matriz de partida,"el sistema tal y como se observó, ya publicado",,,,si,si,,si
wind_mw_Dm6,estado real de días anteriores,generation (real D-1/D-6),en la matriz,matriz de partida,"el sistema tal y como se observó, ya publicado",,,,si,si,,si
